timestamp,Zone,Shift,Pressure_PSI,Temperature_C,Flow_Rate_LPM
2026-06-25 00:00:00,Zone_West,Afternoon,208.77,60.19,1389.62
2026-06-25 00:02:00,Zone_Central,Night,174.56,80.52,838.68
2026-06-25 00:04:00,Zone_East,Afternoon,273.9,61.17,1092.22
2026-06-25 00:06:00,Zone_Central,Afternoon,207.59,69.99,791.61
2026-06-25 00:08:00,Zone_Central,Night,130.28,80.57,973.29
2026-06-25 00:10:00,Zone_South,Morning,222.84,53.39,760.04
2026-06-25 00:12:00,Zone_East,Morning,214.03,84.28,1046.55
2026-06-25 00:14:00,Zone_East,Morning,263.33,73.08,812.01
2026-06-25 00:16:00,Zone_East,Morning,224.51,64.84,629.43
2026-06-25 00:18:00,Zone_Central,Night,175.85,62.24,1252.22
2026-06-25 00:20:00,Zone_West,Night,274.6,83.17,702.6
2026-06-25 00:22:00,Zone_East,Night,248.26,53.23,894.43
2026-06-25 00:24:00,Zone_Central,Afternoon,220.87,57.47,981.74
2026-06-25 00:26:00,Zone_South,Night,166.87,57.31,945.98
2026-06-25 00:28:00,Zone_West,Morning,179.77,56.56,1180.53
2026-06-25 00:30:00,Zone_South,Afternoon,227.2,63.74,1077.42
2026-06-25 00:32:00,Zone_West,Morning,131.52,84.57,836.3
2026-06-25 00:34:00,Zone_Central,Morning,161.07,80.55,641.36
2026-06-25 00:36:00,Zone_North,Night,234.22,58.12,1214.08
2026-06-25 00:38:00,Zone_West,Night,196.8,61.91,882.02
2026-06-25 00:40:00,Zone_South,Morning,184.38,71.78,972.41
2026-06-25 00:42:00,Zone_Central,Morning,144.23,65.29,916.05
2026-06-25 00:44:00,Zone_West,Afternoon,190.7,77.81,1174.13
2026-06-25 00:46:00,Zone_North,Night,243.31,80.19,1351.65
2026-06-25 00:48:00,Zone_North,Afternoon,162.24,79.29,1120.92
2026-06-25 00:50:00,Zone_East,Afternoon,120.86,60.0,930.79
2026-06-25 00:52:00,Zone_East,Afternoon,226.96,63.48,985.23
2026-06-25 00:54:00,Zone_South,Morning,275.62,45.5,1034.76
2026-06-25 00:56:00,Zone_West,Afternoon,217.09,60.98,1067.86
2026-06-25 00:58:00,Zone_West,Afternoon,139.19,63.42,717.46
2026-06-25 01:00:00,Zone_East,Morning,171.32,81.28,1158.81
2026-06-25 01:02:00,Zone_West,Night,258.82,80.76,716.03
2026-06-25 01:04:00,Zone_South,Night,157.21,83.64,611.69
2026-06-25 01:06:00,Zone_North,Afternoon,217.23,80.4,1099.82
2026-06-25 01:08:00,Zone_East,Morning,184.43,45.33,693.53
2026-06-25 01:10:00,Zone_Central,Night,153.25,70.66,1216.33
2026-06-25 01:12:00,Zone_East,Afternoon,250.15,47.73,1292.77
2026-06-25 01:14:00,Zone_Central,Afternoon,238.85,55.9,1355.79
2026-06-25 01:16:00,Zone_North,Morning,225.85,68.13,1131.58
2026-06-25 01:18:00,Zone_South,Afternoon,157.81,65.11,985.61
2026-06-25 01:20:00,Zone_West,Night,135.66,71.19,881.82
2026-06-25 01:22:00,Zone_North,Morning,212.19,46.96,992.74
2026-06-25 01:24:00,Zone_West,Night,208.59,49.14,752.28
2026-06-25 01:26:00,Zone_South,Night,150.14,50.14,878.74
2026-06-25 01:28:00,Zone_South,Night,129.0,48.66,1174.34
2026-06-25 01:30:00,Zone_North,Afternoon,132.91,52.13,773.94
2026-06-25 01:32:00,Zone_South,Afternoon,278.84,72.54,811.25
2026-06-25 01:34:00,Zone_Central,Night,245.37,78.23,1199.46
2026-06-25 01:36:00,Zone_South,Night,267.52,61.35,742.27
2026-06-25 01:38:00,Zone_West,Morning,151.21,72.71,796.71
2026-06-25 01:40:00,Zone_West,Morning,273.69,53.0,614.04
2026-06-25 01:42:00,Zone_West,Afternoon,142.82,83.93,1176.04
2026-06-25 01:44:00,Zone_West,Afternoon,201.45,59.0,1094.32
2026-06-25 01:46:00,Zone_Central,Morning,252.75,78.83,1155.51
2026-06-25 01:48:00,Zone_East,Night,175.97,82.81,771.46
2026-06-25 01:50:00,Zone_North,Afternoon,187.97,79.59,1149.9
2026-06-25 01:52:00,Zone_West,Night,140.51,47.68,1077.1
2026-06-25 01:54:00,Zone_South,Morning,139.67,71.01,892.9
2026-06-25 01:56:00,Zone_West,Afternoon,219.13,49.8,950.26
2026-06-25 01:58:00,Zone_South,Afternoon,228.09,45.23,1054.34
2026-06-25 02:00:00,Zone_South,Morning,244.37,47.07,994.63
2026-06-25 02:02:00,Zone_West,Afternoon,209.07,81.65,1113.46
2026-06-25 02:04:00,Zone_Central,Morning,223.32,81.34,744.78
2026-06-25 02:06:00,Zone_South,Afternoon,122.16,54.03,1032.57
2026-06-25 02:08:00,Zone_South,Morning,145.95,66.88,960.22
2026-06-25 02:10:00,Zone_West,Afternoon,277.59,83.2,1006.25
2026-06-25 02:12:00,Zone_North,Night,132.16,64.87,975.51
2026-06-25 02:14:00,Zone_South,Night,228.61,60.74,1305.18
2026-06-25 02:16:00,Zone_West,Night,148.17,64.33,1254.9
2026-06-25 02:18:00,Zone_West,Afternoon,234.67,76.61,1103.66
2026-06-25 02:20:00,Zone_North,Afternoon,232.96,64.09,1173.19
2026-06-25 02:22:00,Zone_Central,Night,157.47,76.33,634.24
2026-06-25 02:24:00,Zone_Central,Night,163.14,62.27,1195.19
2026-06-25 02:26:00,Zone_South,Morning,224.76,55.08,988.93
2026-06-25 02:28:00,Zone_Central,Morning,182.41,58.06,854.2
2026-06-25 02:30:00,Zone_South,Morning,151.13,48.11,711.82
2026-06-25 02:32:00,Zone_North,Night,237.07,64.9,660.17
2026-06-25 02:34:00,Zone_West,Night,144.66,50.92,635.91
2026-06-25 02:36:00,Zone_West,Night,256.9,77.46,729.44
2026-06-25 02:38:00,Zone_West,Morning,202.35,61.82,624.12
2026-06-25 02:40:00,Zone_Central,Afternoon,136.91,75.6,1186.11
2026-06-25 02:42:00,Zone_North,Night,231.05,83.18,798.89
2026-06-25 02:44:00,Zone_Central,Afternoon,203.07,78.98,894.99
2026-06-25 02:46:00,Zone_Central,Afternoon,167.69,83.06,1258.17
2026-06-25 02:48:00,Zone_North,Afternoon,187.61,67.72,691.73
2026-06-25 02:50:00,Zone_North,Morning,167.73,51.61,1268.48
2026-06-25 02:52:00,Zone_North,Afternoon,162.08,82.42,1111.63
2026-06-25 02:54:00,Zone_North,Night,146.18,79.74,873.62
2026-06-25 02:56:00,Zone_West,Morning,178.04,79.58,694.25
2026-06-25 02:58:00,Zone_East,Night,160.16,72.73,673.19
2026-06-25 03:00:00,Zone_East,Night,229.35,70.0,868.41
2026-06-25 03:02:00,Zone_North,Morning,229.42,45.59,712.27
2026-06-25 03:04:00,Zone_East,Night,200.29,74.92,814.17
